"","Specimen.ID","Run","Lanai.Side","Treatment","Temp...C.","RLC.Order","Plant.ID","Species","rETRmax","rETRmax_min","ek.1","posix_date","day1_rlc_time","day9_rlc_time","day9_ek","day9_rETRmax_min","day5_ek","day5_rETRmax_min","supersat_p1","supersat_p2","supersat_p3","supersat_avg","day_length_avg","carbon1","carbon5","carbon9","carbon_total","supersat_rel"
"870","ul1-2","4","ewa","2",20,"1","37","ul",76.38,4582.8,93.9,2021-11-01,"8:58:07","10:18:15",87.3,4208.4,97.7,4687.2,336,342.5,345.5,341.666666666667,622.111111111111,1539820.8,1605366,1454002.2,4599189,58.3
"871","ul1-3","4","ewa","3",20,"1","37","ul",89.04,5342.4,110.7,2021-11-01,"9:02:50","10:22:46",102.8,4636.8,112.8,5292,273.333333333333,287.5,272.25,276,622.222222222222,1460256,1521450,1262368.8,4244074.8,48.4
"872","ul1-4","4","ewa","4",20,"1","37","ul",96.6,5796,120.8,2021-11-01,"9:07:07","10:27:23",97,4737.6,115.4,5544,248.333333333333,279.5,305.25,280.555555555556,622.222222222222,1439340,1549548,1446152.4,4435040.4,49.4
"873","hm2-1","4","ewa","1",20,"2","38","hm",89.38,5362.8,124.4,2021-11-01,"9:11:51","10:32:02",103.6,3578.4,155.6,5027.4,234,152,272.75,233,622.222222222222,1254895.2,764164.8,976008.6,2995068.6,42.8
"874","hm2-2","4","ewa","2",20,"2","38","hm",66.42,3985.2,99.7,2021-11-01,"9:16:12","10:36:40",38.6,1574.4,142.3,4873.2,312.333333333333,193,482.5,361.444444444444,622.222222222222,1244710.8,940527.6,759648,2944886.4,63.7
"875","hm2-3","4","ewa","3",20,"2","38","hm",84.46,5067.6,101.9,2021-11-01,"9:21:11","10:41:17",83,3345.6,116.4,5166,304.666666666667,274.5,372,327.888888888889,622.111111111111,1543928.8,1418067,1244563.2,4206559,57.5
"876","hm2-4","4","ewa","4",20,"2","38","hm",81.9,4914,131.8,2021-11-01,"9:25:56","10:45:45",98.2,3300,95.1,3050.4,202.666666666667,353,304,281.111111111111,622.222222222222,995904,1076791.2,1003200,3075895.2,49.5
"877","ul2-1","4","ewa","1",20,"2","38","ul",97.58,5854.8,114.8,2021-11-01,"9:30:17","10:50:08",68.8,3232.2,76.5,3676.2,264.333333333333,423.5,425.75,371.444444444444,622.111111111111,1547618.8,1556870.7,1376109.15,4480598.65,64.3
"878","ul2-2","4","ewa","2",20,"2","38","ul",78.54,4712.4,95.1,2021-11-01,"9:34:51","10:55:10",56.4,2684.4,75.3,3710.4,332.666666666667,428.5,456,408.777777777778,622.222222222222,1567658.4,1589906.4,1224086.4,4381651.2,69.9
"879","ul2-4","4","ewa","4",20,"2","38","ul",64.7,3882,79.6,2021-11-01,"9:39:27","11:04:22",78.1,3813,78.9,3882,399.333333333333,417,395.25,401.444444444444,622.777777777778,1550212,1618794,1507088.25,4676094.25,68.3
"880","ul2-3","4","ewa","3",20,"2","38","ul",78.95,4737,97,2021-11-01,"9:43:50","10:59:41",69.4,3427.2,76.8,3591,323,422.5,427.25,391.444444444444,621.777777777778,1530051,1517197.5,1464271.2,4511519.7,67.3
"881","hm3-1","4","ewa","1",27,"3","39","hm",69.7,4182,90.7,2021-11-01,"9:48:45","11:13:32",60.8,3493.2,79.9,3099.6,352.666666666667,416,450.75,410.333333333333,622.777777777778,1474852,1289433.6,1574559.9,4338845.5,70.3
"882","hm3-2","4","ewa","2",27,"3","39","hm",78.72,4723.2,119.6,2021-11-01,"9:53:57","11:17:58",48.1,1918.8,64.6,2445,252,465,477.25,399.444444444444,622.555555555556,1190246.4,1136925,915747.3,3242918.7,68.4
"883","hm3-3","4","ewa","3",27,"3","39","hm",76.88,4612.8,103.8,2021-11-01,"9:58:50","11:22:51",63.4,2410.8,108.2,5805.6,298,303,447,365.333333333333,622.666666666667,1374614.4,1759096.8,1077627.6,4211338.8,64
"884","hm3-4","4","ewa","4",27,"3","39","hm",82,4920,92.8,2021-11-01,"10:04:02","11:27:39",84.4,2924.4,93.9,3394.8,343.666666666667,358,376.75,361.555555555556,622.555555555556,1690840,1215338.4,1101767.7,4007946.1,62.6
"885","ul3-1","4","ewa","1",27,"3","39","ul",58.71,3522.6,74.2,2021-11-01,"10:08:45","11:08:50",72.8,3283.2,62.2,2838.6,411.666666666667,476,419.5,429.444444444444,620,1450137,1351173.6,1377302.4,4178613,72.8
"886","ul3-2","4","ewa","2",27,"3","39","ul",57.86,3471.6,74.9,2021-11-01,"10:13:24","11:32:07",55,2565,81.4,4001.4,407.666666666667,411,467.75,435.111111111111,622,1415255.6,1644575.4,1199778.75,4259609.75,74
"887","ul3-3","4","ewa","3",27,"3","39","ul",56.15,3369,73.9,2021-11-01,"10:17:50","11:36:41",102.5,5090.4,93.5,4485.6,409.666666666667,359.5,292.25,346.333333333333,622.111111111111,1380167,1612573.2,1487669.4,4480409.6,60.1
"888","ul3-4","4","ewa","4",27,"3","39","ul",51.87,3112.2,66.5,2021-11-01,"10:22:39","11:41:07",77.9,3916.2,91.1,4586.4,430.666666666667,369,405.75,405.888888888889,622,1340320.8,1692381.6,1588998.15,4621700.55,69.5
"889","hm4-1","4","ewa","1",27,"4","40","hm",59.22,3553.2,105.1,2021-11-01,"10:27:30","8:05:39",57.2,2804.4,68.2,2952,290,452,412.25,380.333333333333,597.555555555556,1030428,1334304,1156113.9,3520845.9,65.1
"890","hm4-2","4","ewa","2",27,"4","40","hm",95.12,5707.2,145.8,2021-11-01,"10:31:50","8:10:00",68.4,2312.4,68.3,2902.8,144.333333333333,452,386.25,320.222222222222,597.555555555556,823739.2,1312065.6,893164.5,3028969.3,55.1
"891","hm4-3","4","ewa","3",27,"4","40","hm",91.84,5510.4,153.4,2021-11-01,"10:36:15","8:14:58",158.2,3739.2,66.6,3198,108.333333333333,458.5,130.5,196,597.555555555556,596960,1466283,487965.6,2551208.6,36.4
"892","hm4-4","4","ewa","4",27,"4","40","hm",81.06,4863.6,119.3,2021-11-01,"10:40:33","8:19:50",95.8,2746.8,96.8,2755.2,253,346,294.25,292,597.666666666667,1230490.8,953299.2,808245.9,2992035.9,50.2
"893","ul4-1","4","ewa","1",27,"4","40","ul",84.84,5090.4,107.5,2021-11-01,"10:44:50","8:24:32",66.8,2998.2,88.3,4121.4,283.333333333333,380,393.5,353.777777777778,597.777777777778,1442280,1566132,1179791.7,4188203.7,61.7
"894","ul4-2","4","ewa","2",27,"4","40","ul",81.79,4907.4,101.9,2021-11-01,"10:49:26","8:28:53",51.2,2377.2,80.1,3847.2,304.666666666667,415,429.75,384.777777777778,597.666666666667,1495121.2,1596588,1021601.7,4113310.9,67.2
"895","ul4-3","4","ewa","3",27,"4","40","ul",84,5040,103.2,2021-11-01,"10:53:53","8:33:44",70.2,3300.6,85.9,4107.6,300,391,387,358.888888888889,597.777777777778,1512000,1606071.6,1277332.2,4395403.8,62.6
"896","ul4-4","4","ewa","4",27,"4","40","ul",78.95,4737,98.1,2021-11-01,"10:58:22","8:38:08",54,2599.2,94.6,4258.8,314.666666666667,354,426,372.888888888889,597.666666666667,1490576,1507615.2,1107259.2,4105450.4,65.9
"897","hm5-1","4","ewa","1",30,"5","41","hm",66.42,3985.2,108.7,2021-11-01,"11:02:58","8:42:39",39.1,2607.6,69.3,3099.6,276.666666666667,447,453,392.888888888889,597.666666666667,1102572,1385521.2,1181242.8,3669336,69
"898","hm5-2","4","ewa","2",30,"5","41","hm",107.42,6445.2,151.8,2021-11-01,"11:07:23","8:47:19",57.4,2755.2,81.9,2952,117,410.5,422.25,317.888888888889,597.666666666667,754088.4,1211796,1163383.2,3129267.6,57.2
"899","hm5-3","4","ewa","3",30,"5","41","hm",106.6,6396,127.9,2021-11-01,"11:12:00","8:51:51",42.1,2509.2,65.6,2361.6,219.666666666667,460.5,451.25,376.111111111111,597.666666666667,1404988,1087516.8,1132276.5,3624781.3,66.2
"900","hm5-4","4","ewa","4",30,"5","41","hm",98.4,5904,164,2021-11-01,"11:16:20","8:56:26",70.9,2804.4,99.1,3099.6,72,338,391.25,273,597.777777777778,425088,1047664.8,1097221.5,2569974.3,50
"901","ul5-1","4","ewa","1",30,"5","41","ul",85.26,5115.6,104.8,2021-11-01,"11:20:51","9:00:50",60.2,2958,79.4,3727.8,292.333333333333,416,419.5,376.333333333333,597.777777777778,1495460.4,1550764.8,1240881,4287106.2,66.7
"902","ul5-2","4","ewa","2",30,"5","41","ul",74.34,4460.4,91.6,2021-11-01,"11:25:11","9:05:13",71.5,3591,80.1,3830.4,329.333333333333,415,391.5,376,597.666666666667,1468958.4,1589616,1405876.5,4464450.9,66.1
"903","ul5-3","4","ewa","3",30,"5","41","ul",77.28,4636.8,95.3,2021-11-01,"11:30:00","9:09:40",91.4,4737.6,93.5,4485.6,316.333333333333,359.5,313.75,324.777777777778,597.666666666667,1466774.4,1612573.2,1486422,4565769.6,56.1
"904","ul5-4","4","ewa","4",30,"5","41","ul",79.38,4762.8,95.5,2021-11-01,"11:34:54","9:14:08",71.7,3522.6,91.7,4291.8,314.666666666667,367,393.25,361.222222222222,597.666666666667,1498694.4,1575090.6,1385262.45,4459047.45,64.3
"905","hm6-1","4","ewa","1",30,"6","42","hm",72.16,4329.6,112.4,2021-11-01,"11:39:23","9:18:52",75.6,2853.6,91.5,3886.8,267,367.5,382.75,340.777777777778,597.666666666667,1156003.2,1428399,1092215.4,3676617.6,61
"906","hm6-2","4","ewa","2",30,"6","42","hm",86.1,5166,111.8,2021-11-01,"11:43:47","9:23:27",53.2,2509.2,77.3,3345.6,267,421.5,439,377.777777777778,597.777777777778,1379322,1410170.4,1101538.8,3891031.2,67.5
"907","hm6-3","4","ewa","3",30,"6","42","hm",73.8,4428,93.3,2021-11-01,"11:48:17","9:28:02",46.9,3050.4,77.2,2853.6,316.333333333333,422,451.75,400,597.666666666667,1400724,1204219.2,1378018.2,3982961.4,70.8
"908","hm6-4","4","ewa","4",30,"6","42","hm",75.6,4536,111.5,2021-11-01,"11:52:59","9:32:50",65.8,2620.8,90.1,3198,264,372.5,413.5,354.555555555556,597.666666666667,1197504,1191255,1083700.8,3472459.8,64
"909","ul6-1","4","ewa","1",30,"6","42","ul",72.11,4326.6,89.4,2021-11-01,"11:57:31","9:37:29",68.9,3334.8,66.3,3100.8,328.666666666667,458.5,407.5,392.555555555556,597.777777777778,1422009.2,1421716.8,1358931,4202657,69.2
"910","ul6-2","4","ewa","2",30,"6","42","ul",77.7,4662,95.1,2021-11-01,"12:02:03","9:42:04",62.4,3385.8,75.5,3625.2,306.333333333333,427.5,424.5,385.777777777778,597.666666666667,1428126,1549773,1437272.1,4415171.1,68.7
"911","ul6-3","4","ewa","3",30,"6","42","ul",82.74,4964.4,98.4,2021-11-01,"12:06:40","9:46:35",83.6,4132.8,93.4,4510.8,296,359.5,355.75,336.666666666667,597.777777777778,1469462.4,1621632.6,1470243.6,4561338.6,60
"912","ul6-4","4","ewa","4",30,"6","42","ul",76.86,4611.6,92.2,2021-11-01,"12:11:23","9:50:54",64.9,3266.4,79.7,3744.6,312.333333333333,416,420.5,383.444444444444,597.666666666667,1440356.4,1557753.6,1373521.2,4371631.2,68.3
"913","hm1-1","4","diamond","1",20,"1","43","hm",96.76,5805.6,156.4,2021-11-04,"8:11:15","8:35:24",89.6,4526.4,143.8,6740.4,132,184.5,248.75,195.555555555556,612.222222222222,766339.2,1243603.8,1125942,3135885,36
"914","hm1-2","4","diamond","2",20,"1","43","hm",74.38,4462.8,111.7,2021-11-04,"8:15:55","8:39:58",92.8,4920,138,6100.8,262,209,235.5,238.444444444444,612.333333333333,1169253.6,1275067.2,1158660,3602980.8,42.1
"915","hm1-3","4","diamond","3",20,"1","43","hm",59.86,3591.6,88.5,2021-11-04,"8:20:16","8:44:19",108.7,4870.8,144.3,5027.4,353,181,176.25,236.222222222222,612.222222222222,1267834.8,909959.4,858478.5,3036272.7,42
"916","hm1-4","4","diamond","4",20,"1","43","hm",62.32,3739.2,79.1,2021-11-04,"8:24:37","8:48:44",94.5,2992.8,145.1,4280.4,395.333333333333,179.5,227.5,272.777777777778,612.333333333333,1478230.4,768331.8,680862,2927424.2,46.8
"917","ul1-1","4","diamond","1",20,"1","43","ul",81.9,4914,105.7,2021-11-04,"8:29:16","8:53:08",78.5,3591,80,3727.8,283,423.5,286,315.555555555556,612.222222222222,1390662,1578723.3,1027026,3996411.3,52.4
"918","ul1-2","4","diamond","2",20,"1","43","ul",60.9,3654,75.6,2021-11-04,"8:33:38","8:57:33",77.2,3625.2,83,3916.2,404.333333333333,410.5,291.25,355.444444444444,612.222222222222,1477434,1607600.1,1055839.5,4140873.6,58.1
"919","ul1-3","4","diamond","3",20,"1","43","ul",65.94,3956.4,79.7,2021-11-04,"8:37:58","9:01:58",74.3,3628.8,86.4,4172.4,388,389,302,350,612.333333333333,1535083.2,1623063.6,1095897.6,4254044.4,57.7
"920","ul1-4","4","diamond","4",20,"1","43","ul",69.83,4189.8,82.4,2021-11-04,"8:42:44","9:06:36",81.9,4158,97.9,4719.6,375.333333333333,348.5,277.25,325.777777777778,612.222222222222,1572571.6,1644780.6,1152805.5,4370157.7,54.5
"921","hm2-1","4","diamond","1",20,"2","44","hm",68.06,4083.6,90.3,2021-11-04,"8:47:23","9:11:08",87.5,3112.2,100,3788.4,340.333333333333,341.5,259.25,304.555555555556,612.222222222222,1389785.2,1293738.6,806837.85,3490361.65,51.9
"922","hm2-2","4","diamond","2",20,"2","44","hm",64.78,3886.8,104.4,2021-11-04,"8:52:19","9:15:42",65.9,4132.8,83.9,2895.6,287.666666666667,404,332.5,333.444444444444,612.222222222222,1118102.8,1169822.4,1374156,3662081.2,56.6
"923","hm2-3","4","diamond","3",20,"2","44","hm",61.5,3690,87.4,2021-11-04,"8:56:59","9:20:14",158.6,3444,71.1,2656.8,349.666666666667,472.5,43.75,241,612.222222222222,1290270,1255338,150675,2696283,43
"924","hm2-4","4","diamond","4",20,"2","44","hm",99.22,5953.2,141.1,2021-11-04,"9:01:23","9:24:35",89.7,3050.4,60.8,1971,169.333333333333,506.5,255.25,282.444444444444,612.111111111111,1008075.2,998311.5,778614.6,2785001.3,49
"925","ul2-1","4","diamond","1",20,"2","44","ul",84.42,5065.2,108.6,2021-11-04,"9:05:52","9:29:00",53,2473.8,73.9,3522.6,267,457.5,363.5,352.222222222222,612.222222222222,1352408.4,1611589.5,899226.3,3863224.2,60
"926","ul2-2","4","diamond","2",20,"2","44","ul",84,5040,102,2021-11-04,"9:10:28","9:33:16",73.3,3454.2,80.4,3898.8,289,420.5,312.75,328.777777777778,612.111111111111,1456560,1639445.4,1080301.05,4176306.45,56.2
"927","ul2-3","4","diamond","3",20,"2","44","ul",74.76,4485.6,88.5,2021-11-04,"9:14:58","9:37:47",105.2,5014.8,71.5,3437.4,340.333333333333,471,190.75,302.888888888889,612.222222222222,1526599.2,1619015.4,956573.1,4102187.7,52
"928","ul2-4","4","diamond","4",20,"2","44","ul",81.9,4914,95.8,2021-11-04,"9:19:19","9:42:15",73.2,3214.8,78.5,3591,305.333333333333,432.5,315.5,338.111111111111,612.111111111111,1500408,1553107.5,1014269.4,4067784.9,57.8
"929","hm3-1","4","diamond","1",27,"3","45","hm",57.12,3427.2,93.5,2021-11-04,"9:23:44","9:46:36",74.5,3444,59.7,2755.2,316,510,312.25,357.444444444444,612.111111111111,1082995.2,1405152,1075389,3563536.2,60.4
"930","hm3-2","4","diamond","2",27,"3","45","hm",81.18,4870.8,119.6,2021-11-04,"9:29:01","9:51:03",65.6,2214,69,2952,230,481,342.25,335.666666666667,612.111111111111,1120284,1419912,757741.5,3297937.5,57.9
"931","hm3-3","4","diamond","3",27,"3","45","hm",58.22,3493.2,81.1,2021-11-04,"9:34:55","9:55:37",106.2,3886.8,69.4,2312.4,364,479,188.75,311.666666666667,611.888888888889,1271524.8,1107639.6,733633.5,3112797.9,53.4
"932","hm3-4","4","diamond","4",27,"3","45","hm",86.1,5166,124.2,2021-11-04,"9:39:13","9:59:36",65.5,2095.2,74.2,2362.8,215,455.5,344.25,325.888888888889,611.777777777778,1110690,1076255.4,721272.6,2908218,56.7
"933","ul3-1","4","diamond","1",27,"3","45","ul",66.36,3981.6,101.1,2021-11-04,"9:43:44","10:04:46",69.5,3300.6,77.5,3984.6,279,438,333.5,338.555555555556,612,1110866.4,1745254.8,1100750.1,3956871.3,58.6
"934","ul3-2","4","diamond","2",27,"3","45","ul",67.24,4034.4,101,2021-11-04,"9:48:15","10:09:09",63.3,3729.6,76.5,3693.6,278,443,351.25,347.222222222222,611.888888888889,1121563.2,1636264.8,1310022,4067850,60
"935","ul3-3","4","diamond","3",27,"3","45","ul",64.41,3864.6,78.3,2021-11-04,"9:52:49","10:13:32",75,3528,78.7,3981.6,370.333333333333,432.5,317.75,360.777777777778,611.888888888889,1431190.2,1722042,1121022,4274254.2,61.6
"936","ul3-4","4","diamond","4",27,"3","45","ul",80.22,4813.2,115.4,2021-11-04,"9:57:12","10:18:14",96,4334.4,104.7,5065.2,231.666666666667,320.5,234,252.444444444444,611.888888888889,1115058,1623396.6,1014249.6,3752704.2,46.2
"937","hm4-1","4","diamond","1",27,"4","46","hm",68.88,4132.8,104.7,2021-11-04,"9:59:33","10:22:41",67.4,2581.8,61.6,2570.4,264,505,344.5,353.333333333333,612.222222222222,1091059.2,1298052,889430.1,3278541.3,60.9
"938","hm4-2","4","diamond","2",27,"4","46","hm",75.44,4526.4,100.3,2021-11-04,"10:05:55","10:27:12",80.8,3148.8,56.8,2361.6,274.666666666667,519,298.75,339.666666666667,612,1243251.2,1225670.4,940704,3409625.6,58.5
"939","hm4-3","4","diamond","3",27,"4","46","hm",62.32,3739.2,101.5,2021-11-04,"10:10:57","10:31:59",77.3,2706,70.9,2646,269.333333333333,473.5,312.25,333.777777777778,612,1007091.2,1252881,844948.5,3104920.7,57.9
"940","hm4-4","4","diamond","4",27,"4","46","hm",54.12,3247.2,92.6,2021-11-04,"10:15:24","10:36:38",77.7,2509.2,86.3,2804.4,303.333333333333,389.5,310,325.444444444444,611.888888888889,984984,1092313.8,777852,2855149.8,56.9
"941","ul4-1","4","diamond","1",27,"4","46","ul",49.14,2948.4,67.7,2021-11-04,"10:20:16","10:41:02",52.8,2325.6,76,3522.6,399.333333333333,447.5,382.25,402.444444444444,611.888888888889,1177394.4,1576363.5,888960.6,3642718.5,68.2
"942","ul4-2","4","diamond","2",27,"4","46","ul",60.13,3607.8,82.1,2021-11-04,"10:24:46","10:45:25",65.9,3249,64.1,2918.4,343.666666666667,498.5,354,382.666666666667,611.888888888889,1239880.6,1454822.4,1150146,3844849,65.2
"943","ul4-3","4","diamond","3",27,"4","46","ul",43.89,2633.4,62.2,2021-11-04,"10:29:20","10:49:50",86.5,4107.6,82.7,3984.6,418.333333333333,412,276.5,353.888888888889,611.888888888889,1101639,1641655.2,1135751.4,3879045.6,60.4
"944","ul4-4","4","diamond","4",27,"4","46","ul",65.84,3950.4,87.2,2021-11-04,"10:34:16","10:54:22",97,4712.4,86.1,4206.6,318.666666666667,390,232,296,611.777777777778,1258860.8,1640574,1093276.8,3992711.6,52
"945","hm5-1","4","diamond","1",30,"5","47","hm",80.64,4838.4,134.2,2021-11-04,"10:38:56","10:59:24",43.2,1915.2,50.8,3050.4,177,538,417.5,364.111111111111,611.888888888889,856396.8,1641115.2,799596,3297108,62.8
"946","hm5-2","4","diamond","2",30,"5","47","hm",78.72,4723.2,123.3,2021-11-04,"10:43:18","11:03:46",57.5,2902.8,51.3,2410.8,200.666666666667,538,378.5,354.666666666667,611.888888888889,947788.8,1297010.4,1098709.8,3343509,61.4
"947","hm5-3","4","diamond","3",30,"5","47","hm",83.64,5018.4,103.2,2021-11-04,"10:48:28","11:08:11",66.9,2755.2,61.6,3198,252,505,350.25,351.888888888889,611.777777777778,1264636.8,1614990,965008.8,3844635.6,60.6
"948","hm5-4","4","diamond","4",30,"5","47","hm",68.4,4104,117.3,2021-11-04,"10:53:00","11:13:10",89,2952,75.5,3542.4,211.333333333333,448.5,267,288.777777777778,611.888888888889,867312,1588766.4,788184,3244262.4,50.9
"949","ul5-1","4","diamond","1",30,"5","47","ul",81.48,4888.8,99.5,2021-11-04,"10:57:37","11:18:00",78.6,3607.8,61.3,2924.4,259.666666666667,505,307,335.222222222222,611.888888888889,1269458.4,1476822,1107594.6,3853875,57.6
"950","ul5-2","4","diamond","2",30,"5","47","ul",78.54,4712.4,98.9,2021-11-04,"11:02:08","11:22:41",97.2,4813.2,107.9,5216.4,261.333333333333,311.5,231.75,259.333333333333,612,1231507.2,1624908.6,1115459.1,3971874.9,46.9
"951","ul5-3","4","diamond","3",30,"5","47","ul",78.96,4737.6,93,2021-11-04,"11:06:50","11:27:32",112.8,5367.6,95.2,4813.2,284.333333333333,358.5,171.25,250.555555555556,611.888888888889,1347057.6,1725532.2,919201.5,3991791.3,45.3
"952","ul5-4","4","diamond","4",30,"5","47","ul",78.12,4687.2,102.5,2021-11-04,"11:11:29","11:32:15",80.8,3710.4,90,4208.4,246.333333333333,374.5,298.75,298.111111111111,611.888888888889,1154613.6,1576045.8,1108482,3839141.4,52.5
"953","hm6-1","4","diamond","1",30,"6","48","hm",72.39,4343.4,122.2,2021-11-04,"11:16:31","11:37:29",49.5,1968,69.9,2656.8,192.666666666667,477,405.5,350.444444444444,611.888888888889,836828.4,1267293.6,798024,2902146,61
"954","hm6-2","4","diamond","2",30,"6","48","hm",72.98,4378.8,106.5,2021-11-04,"11:21:12","11:42:14",58.8,2164.8,64.2,2902.8,230.666666666667,497.5,385,358.555555555556,612,1010043.2,1444143,833448,3287634.2,62.1
"955","hm6-3","4","diamond","3",30,"6","48","hm",80.36,4821.6,107.8,2021-11-04,"11:25:31","11:46:49",86.8,3654,77.1,3936,224,441,275.25,295,612,1080038.4,1735776,1005763.5,3821577.9,51.7
"956","ul6-1","4","diamond","1",30,"6","48","ul",59.22,3553.2,84.8,2021-11-04,"11:35:09","11:51:40",64.1,2952.6,69.8,3266.4,308,477.5,371.5,373.888888888889,611.444444444444,1094385.6,1559706,1096890.9,3750982.5,64.1
"957","ul6-2","4","diamond","2",30,"6","48","ul",54.44,3266.4,79.2,2021-11-04,"11:39:51","11:56:58",62.3,3232.2,88.3,4086.6,332.333333333333,380.5,380.75,364.555555555556,611.555555555556,1085533.6,1554951.3,1230660.15,3871145.05,63.2
"958","ul6-3","4","diamond","3",30,"6","48","ul",49.4,2964,70.6,2021-11-04,"11:44:55","12:01:21",69.5,3300.6,70.9,3334.8,360.333333333333,473.5,348.75,380.333333333333,611.444444444444,1068028,1579027.8,1151084.25,3798140.05,64.5
"959","ul6-4","4","diamond","4",30,"6","48","ul",59.28,3556.8,92.9,2021-11-04,"11:49:35","12:06:46",102.8,4712.4,95.7,4662,270,357,206.5,261.111111111111,611.555555555556,960336,1664334,973110.6,3597780.6,47
"1150","ul1-1","6","ewa","0",20,"1","49","ul",44.27,2656.2,61.7,2022-02-11,"8:17:02","9:18:55",42,1911.6,42.7,2084.4,438.666666666667,580,455.25,477.444444444444,632.666666666667,1165186.4,1208952,870255.9,3244394.3,74.8
"1151","ul1-2","6","ewa","0",20,"1","50","ul",41.42,2485.2,54.1,2022-02-11,"8:21:56","9:23:41",50.7,1972.2,57.5,2542.2,490.333333333333,526.5,429.25,471.222222222222,632.666666666667,1218576.4,1338468.3,846566.85,3403611.55,73.2
"1152","ul1-3","6","ewa","0",20,"1","51","ul",49.02,2941.2,65,2022-02-11,"8:26:51","9:28:09",52.6,2166,63.6,2815.8,419,505,423,439.888888888889,632.666666666667,1232362.8,1421979,916218,3570559.8,68.8
"1153","ul1-4","6","ewa","0",20,"1","52","ul",34.58,2074.8,48.2,2022-02-11,"8:31:36","9:32:45",36.6,1485,40.4,2014.2,520.666666666667,583.5,475.25,514.444444444444,632.666666666667,1080279.2,1175285.7,705746.25,2961311.15,81.6
"1154","ul2-1","6","ewa","0",20,"2","53","ul",113.98,6838.8,134.3,2022-02-11,"8:36:38","9:37:24",82.8,4018.2,103.7,4788,72.6666666666667,344,319,242.444444444444,632.666666666667,496952.8,1647072,1281805.8,3425830.6,41.2
"1155","ul2-2","6","ewa","0",20,"2","54","ul",52.5,3150,77.2,2022-02-11,"8:42:07","9:42:02",45.5,1710,60.7,2530.8,357,518.5,451.5,434.888888888889,632.444444444444,1124550,1312219.8,772065,3208834.8,69.6
"1156","ul2-3","6","ewa","0",20,"2","55","ul",50.35,3021,66.4,2022-02-11,"8:46:45","9:46:37",63.2,2758.8,57.6,2519.4,411,526.5,396,430,632.444444444444,1241631,1326464.1,1092484.8,3660579.9,67.2
"1157","ul2-4","6","ewa","0",20,"2","56","ul",45.41,2724.6,63,2022-02-11,"8:51:35","9:51:12",45.4,1824,55,2160,431,535,454.25,464.444444444444,632.555555555556,1174302.6,1155600,828552,3158454.6,73.9
"1158","ul3-1","6","ewa","0",27,"3","57","ul",47.6,2856,64,2022-02-11,"8:59:33","9:55:47",38.8,1695.6,39.7,1762.8,426,584.5,474.75,482.888888888889,632.111111111111,1216656,1030356.6,804986.1,3051998.7,77
"1159","ul3-2","6","ewa","0",27,"3","58","ul",47.5,2850,63.3,2022-02-11,"9:05:20","9:59:31",57.5,2599.2,48.1,2120.4,430.666666666667,567,418.5,455.555555555556,631.888888888889,1227400,1202266.8,1087765.2,3517432,71.5
"1160","ul3-3","6","ewa","0",27,"3","59","ul",51.68,3100.8,71,2022-02-11,"9:10:14","10:04:52",36.8,1690.2,49.9,2257.2,389,562,483,469.222222222222,631.888888888889,1206211.2,1268546.4,816366.6,3291124.2,75.7
"1161","ul3-4","6","ewa","0",27,"3","60","ul",48.64,2918.4,63.6,2022-02-11,"9:14:58","10:09:19",50.5,2200.2,61.5,2884.2,428.666666666667,516,442,454,631.888888888889,1251020.8,1488247.2,972488.4,3711756.4,72.3
"1162","ul4-1","6","ewa","0",27,"4","61","ul",44.46,2667.6,59.8,2022-02-11,"9:19:43","8:21:56",64.4,2975.4,56.9,2633.4,450.666666666667,529.5,382.75,438,619.333333333333,1202198.4,1394385.3,1138834.35,3735418.05,67.3
"1163","ul4-2","6","ewa","0",27,"4","62","ul",39.71,2382.6,52.3,2022-02-11,"9:24:26","8:27:28",47.8,2109,38.6,1800,496.666666666667,587,426,485.333333333333,619.555555555556,1183358,1056600,898434,3138392,73.6
"1164","ul4-3","6","ewa","0",27,"4","63","ul",45.98,2758.8,62.4,2022-02-11,"9:29:08","8:31:56",48.2,2097.6,55.1,2622,434.666666666667,535,425.25,452.777777777778,619.444444444444,1199158.4,1402770,892004.4,3493932.8,69.2
"1165","ul4-4","6","ewa","0",27,"4","64","ul",41.61,2496.6,58,2022-02-11,"9:34:04","8:36:30",45.9,1995,45.9,1983.6,462.333333333333,571.5,434.75,474.333333333333,619.444444444444,1154261.4,1133627.4,867326.25,3155215.05,73.4
"1166","ul5-1","6","ewa","0",30,"5","65","ul",62.13,3727.8,80.4,2022-02-11,"9:39:54","8:41:17",52.1,2280,51.7,2325.6,335.666666666667,554,413.25,418.666666666667,619.333333333333,1251298.2,1288382.4,942210,3481890.6,64.4
"1167","ul5-2","6","ewa","0",30,"5","66","ul",46.74,2804.4,60,2022-02-11,"9:46:23","8:46:21",30,1382.4,41.1,1875,450.333333333333,582,478.5,492.111111111111,619.222222222222,1262914.8,1091250,661478.4,3015643.2,79
"1168","ul5-3","6","ewa","0",30,"5","67","ul",43.32,2599.2,56.6,2022-02-11,"9:51:55","8:50:44",49.4,2188.8,49.1,2131.8,472,565,425.5,472,619,1226822.4,1204467,931334.4,3362623.8,73.2
